ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1969-01-01,12336.68497856,-136592.10071346012,-17453.11343426372,12336.68497856,12336.68497856,-87244.02919470696,-87244.02919470696,-87244.02919470696,-87244.02919470696,-87244.02919470696,-87244.02919470696,0.0,0.0,0.0,-74907.34421614696
1970-01-01,46207.02779541385,-94389.8902226711,11069.857498000969,46207.02779541385,46207.02779541385,-88555.219449008,-88555.219449008,-88555.219449008,-88555.219449008,-88555.219449008,-88555.219449008,0.0,0.0,0.0,-42348.19165359415
1971-01-01,80077.37061226768,-64900.17162567738,49444.19473553395,80077.37061226768,80077.37061226768,-89510.23795742668,-89510.23795742668,-89510.23795742668,-89510.23795742668,-89510.23795742668,-89510.23795742668,0.0,0.0,0.0,-9432.867345159
1972-01-01,113947.71343644969,-29113.230725841186,79062.85464784632,113947.71343644969,113947.71343644969,-90107.08421444418,-90107.08421444418,-90107.08421444418,-90107.08421444418,-90107.08421444418,-90107.08421444418,0.0,0.0,0.0,23840.629222005504
1973-01-01,147910.85172850845,2009.1721995053165,117223.70337126145,147910.85172850845,147910.85172850845,-87244.02919470763,-87244.02919470763,-87244.02919470763,-87244.02919470763,-87244.02919470763,-87244.02919470763,0.0,0.0,0.0,60666.82253380082
1974-01-01,181781.19456075286,35079.48178609929,147354.1465231247,181781.19456075286,181781.19456075286,-88555.2194490084,-88555.2194490084,-88555.2194490084,-88555.2194490084,-88555.2194490084,-88555.2194490084,0.0,0.0,0.0,93225.97511174447
1975-01-01,215651.53739834408,70568.68454221767,184992.56756885457,215651.53739834408,215651.53739834408,-89510.23795742712,-89510.23795742712,-89510.23795742712,-89510.23795742712,-89510.23795742712,-89510.23795742712,0.0,0.0,0.0,126141.29944091696
1976-01-01,249521.8802359354,102026.11149561568,214976.6878451171,249521.8802359354,249521.8802359354,-90107.08421444401,-90107.08421444401,-90107.08421444401,-90107.08421444401,-90107.08421444401,-90107.08421444401,0.0,0.0,0.0,159414.79602149138
1977-01-01,283485.0185403926,137480.4198635139,248735.08967996627,283485.0185403926,283485.0185403926,-87244.02919470795,-87244.02919470795,-87244.02919470795,-87244.02919470795,-87244.02919470795,-87244.02919470795,0.0,0.0,0.0,196240.98934568462
1978-01-01,317355.3613850015,169679.79422436663,287089.797424902,317355.3613850015,317355.3613850015,-88555.21944900886,-88555.21944900886,-88555.21944900886,-88555.21944900886,-88555.21944900886,-88555.21944900886,0.0,0.0,0.0,228800.14193599264
