Year,"Total Thermal Capacity, MWt"
1969,4755
1970,11851
1971,17942
1972,32262
1973,50505
1974,78957
1975,99843
1976,123462
1977,135724
1978,158582
1979,170354
1980,214526
1981,264050
1982,296809
1983,334818
1984,411489
1985,500573
1986,564284
1987,627367
1988,658443
1989,682953
1990,710416
1991,721742
1992,733360
1993,753093
1994,766236
1995,776287
1996,789619
1997,800220
1998,809402
1999,818005
2000,828291
2001,834316
2002,850065
2003,854954
2004,866084
2005,870639
2006,875369
2007,881349
2008,881349
2009,882150
2010,893811
2011,901405
2012,915200
2013,926915
2014,940790
2015,967980
2016,996123
2017,1005932
2018,1036257
2019,1051235
2020,1067573
2021,1083092
2022,1104383
2023,1119491
2024,1139680
