Year,"Electricity Supplied, GW.h"
1969,0.0
1970,7094.0
1971,19262.7
1972,35239.8
1973,56018.11
1974,86474.34
1975,135642.56
1976,160568.49
1977,201090.23
1978,249934.17
1979,245811.01
1980,302959.65
1981,402785.99
1982,428028.3
1983,504788.78
1984,635505.49
1985,793964.45
1986,923207.03
1987,1033244.29
1988,1139035.09
1989,1214178.63
1990,1295067.8800000001
1991,1371181.0
1992,1412880.58
1993,1455036.45
1994,1486710.29
1995,1558946.16
1996,1608239.17
1997,1619028.93
1998,1656243.8
1999,1734251.53
2000,1810538.01
2001,1874184.6
2002,1910643.01
2003,1938824.93
2004,1984504.24
2005,1998538.7
2006,2024274.75
2007,2049935.76
2008,2035354.48
2009,2019603.25
2010,2064934.73
2011,2082832.04
2012,2042338.34
2013,2084843.21
2014,2127525.92
2015,2175965.34
2016,2211852.16
2017,2268415.03
2018,2337240.7
2019,2443777.81
2020,2389265.13
2021,2501165.79
2022,2393965.7
2023,2510283.02
2024,2593944.18
