Country,Year,"Total Thermal Capacity, MWt"
ARGENTINA,1974,1179
ARGENTINA,1975,1179
ARGENTINA,1976,1179
ARGENTINA,1977,1179
ARGENTINA,1978,1179
ARGENTINA,1979,1179
ARGENTINA,1980,1179
ARGENTINA,1981,1179
ARGENTINA,1982,1179
ARGENTINA,1983,3243
ARGENTINA,1984,3243
ARGENTINA,1985,3243
ARGENTINA,1986,3243
ARGENTINA,1987,3243
ARGENTINA,1988,3243
ARGENTINA,1989,3243
ARGENTINA,1990,3243
ARGENTINA,1991,3243
ARGENTINA,1992,3243
ARGENTINA,1993,3243
ARGENTINA,1994,3243
ARGENTINA,1995,3243
ARGENTINA,1996,3243
ARGENTINA,1997,3243
ARGENTINA,1998,3243
ARGENTINA,1999,3243
ARGENTINA,2000,3243
ARGENTINA,2001,3243
ARGENTINA,2002,3243
ARGENTINA,2003,3243
ARGENTINA,2004,3243
ARGENTINA,2005,3243
ARGENTINA,2006,3243
ARGENTINA,2007,3243
ARGENTINA,2008,3243
ARGENTINA,2009,3243
ARGENTINA,2010,3243
ARGENTINA,2011,3243
ARGENTINA,2012,3243
ARGENTINA,2013,3243
ARGENTINA,2014,5403
ARGENTINA,2015,5403
ARGENTINA,2016,5403
ARGENTINA,2017,5403
ARGENTINA,2018,5403
ARGENTINA,2019,5403
ARGENTINA,2020,5403
ARGENTINA,2021,5403
ARGENTINA,2022,5403
ARGENTINA,2023,5403
ARGENTINA,2024,5403
ARMENIA,1980,1375
ARMENIA,1981,1375
ARMENIA,1982,1375
ARMENIA,1983,1375
ARMENIA,1984,1375
ARMENIA,1985,1375
ARMENIA,1986,1375
ARMENIA,1987,1375
ARMENIA,1988,1375
ARMENIA,1989,1375
ARMENIA,1990,1375
ARMENIA,1991,1375
ARMENIA,1992,1375
ARMENIA,1993,1375
ARMENIA,1994,1375
ARMENIA,1995,1375
ARMENIA,1996,1375
ARMENIA,1997,1375
ARMENIA,1998,1375
ARMENIA,1999,1375
ARMENIA,2000,1375
ARMENIA,2001,1375
ARMENIA,2002,1375
ARMENIA,2003,1375
ARMENIA,2004,1375
ARMENIA,2005,1375
ARMENIA,2006,1375
ARMENIA,2007,1375
ARMENIA,2008,1375
ARMENIA,2009,1375
ARMENIA,2010,1375
ARMENIA,2011,1375
ARMENIA,2012,1375
ARMENIA,2013,1375
ARMENIA,2014,1375
ARMENIA,2015,1375
ARMENIA,2016,1375
ARMENIA,2017,1375
ARMENIA,2018,1375
ARMENIA,2019,1375
ARMENIA,2020,1375
ARMENIA,2021,1375
ARMENIA,2022,1375
ARMENIA,2023,1375
ARMENIA,2024,1375
BELARUS,2020,3200
BELARUS,2021,3200
BELARUS,2022,3200
BELARUS,2023,6400
BELARUS,2024,6400
BELGIUM,1975,4184
BELGIUM,1976,4184
BELGIUM,1977,4184
BELGIUM,1978,4184
