Country,Reactor name,Status,Type,"Thermal Capacity, MWt",Year,"Electricity Supplied, GW.h",Grid Connection Date,Construction Start Date,Commercial Operation Date,First Critically Date
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1974,947.5,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1975,2357.8,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1976,2408.6,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1977,1537.0,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1978,2711.81,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1979,2503.7,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1980,2180.5,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1981,2647.6,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1982,1753.6,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1983,2356.0,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1984,1706.12,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1985,1470.45,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1986,2204.96,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1987,1405.8,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1988,808.1,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1989,0.0,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1990,1722.59,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1991,2721.89,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1992,2230.24,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1993,2403.66,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1994,2651.86,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1995,2671.71,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1996,2038.8,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1997,2720.14,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1998,2374.36,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,1999,1395.5,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,2000,1677.85,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,2001,1425.96,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,2002,1011.5,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,2003,2020.6,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,2004,2725.01,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,2005,1997.96,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,2006,2100.55,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,2007,2718.74,1974-03-19,1968-05-31,1974-06-24,1974-01-13
ARGENTINA,ATUCHA-1,Operational,PHWR,1179,2008,2481.26,1974-03-19,1968-05-31,1974-06-24,1974-01-13
