Type,Year,"Total Thermal Capacity, MWt"
BWR,1969,1850
BWR,1970,4807
BWR,1971,9768
BWR,1972,15682
BWR,1973,19140
BWR,1974,35723
BWR,1975,41182
BWR,1976,47563
BWR,1977,47563
BWR,1978,52867
BWR,1979,52867
BWR,1980,58601
BWR,1981,61854
BWR,1982,69352
BWR,1983,69352
BWR,1984,91581
BWR,1985,105387
BWR,1986,116471
BWR,1987,123932
BWR,1988,126368
BWR,1989,132200
BWR,1990,132200
BWR,1991,132200
BWR,1992,132200
BWR,1993,132200
BWR,1994,136953
BWR,1995,136953
BWR,1996,136953
BWR,1997,136953
BWR,1998,136953
BWR,1999,136953
BWR,2000,136953
BWR,2001,136953
BWR,2002,136953
BWR,2003,136953
BWR,2004,136953
BWR,2005,136953
BWR,2006,136953
BWR,2007,136953
BWR,2008,136953
BWR,2009,136953
BWR,2010,136953
BWR,2011,136953
BWR,2012,136953
BWR,2013,136953
BWR,2014,136953
BWR,2015,136953
BWR,2016,136953
BWR,2017,136953
BWR,2018,136953
BWR,2019,136953
BWR,2020,136953
BWR,2021,136953
BWR,2022,136953
BWR,2023,136953
BWR,2024,136953
FBR,1980,1470
FBR,1981,1470
FBR,1982,1470
FBR,1983,1470
FBR,1984,1470
FBR,1985,1470
FBR,1986,1470
FBR,1987,1470
FBR,1988,1470
FBR,1989,1470
FBR,1990,1470
FBR,1991,1470
FBR,1992,1470
FBR,1993,1470
FBR,1994,1470
FBR,1995,1470
FBR,1996,1470
FBR,1997,1470
FBR,1998,1470
FBR,1999,1470
FBR,2000,1470
FBR,2001,1470
FBR,2002,1470
FBR,2003,1470
FBR,2004,1470
FBR,2005,1470
FBR,2006,1470
FBR,2007,1470
FBR,2008,1470
FBR,2009,1470
FBR,2010,1470
FBR,2011,1470
FBR,2012,1470
FBR,2013,1470
FBR,2014,1470
FBR,2015,3570
FBR,2016,3570
FBR,2017,3570
FBR,2018,3570
FBR,2019,3570
FBR,2020,3570
FBR,2021,3570
FBR,2022,3570
FBR,2023,3570
FBR,2024,3570
GCR,1983,3000
GCR,1984,6000
GCR,1985,6000
GCR,1986,6000
GCR,1987,6000
GCR,1988,10723
GCR,1989,12346
GCR,1990,12346
GCR,1991,12346
GCR,1992,12346
GCR,1993,12346
GCR,1994,12346
GCR,1995,12346
GCR,1996,12346
GCR,1997,12346
GCR,1998,12346
GCR,1999,12346
GCR,2000,12346
GCR,2001,12346
GCR,2002,12346
GCR,2003,12346
GCR,2004,12346
GCR,2005,12346
GCR,2006,12346
GCR,2007,12346
GCR,2008,12346
GCR,2009,12346
GCR,2010,12346
GCR,2011,12346
GCR,2012,12346
GCR,2013,12346
GCR,2014,12346
GCR,2015,12346
GCR,2016,12346
GCR,2017,12346
GCR,2018,12346
GCR,2019,12346
GCR,2020,12346
GCR,2021,12346
GCR,2022,12346
GCR,2023,12346
GCR,2024,12346
HTGR,2021,500
HTGR,2022,500
HTGR,2023,500
HTGR,2024,500
LWGR,1974,62
LWGR,1975,124
LWGR,1976,186
LWGR,1977,186
LWGR,1978,186
LWGR,1979,3386
LWGR,1980,3386
LWGR,1981,6586
LWGR,1982,9786
LWGR,1983,12986
LWGR,1984,12986
LWGR,1985,19386
LWGR,1986,19386
LWGR,1987,19386
LWGR,1988,19386
LWGR,1989,19386
LWGR,1990,22586
LWGR,1991,22586
LWGR,1992,22586
LWGR,1993,22586
LWGR,1994,22586
LWGR,1995,22586
LWGR,1996,22586
LWGR,1997,22586
LWGR,1998,22586
LWGR,1999,22586
LWGR,2000,22586
LWGR,2001,22586
LWGR,2002,22586
LWGR,2003,22586
LWGR,2004,22586
LWGR,2005,22586
LWGR,2006,22586
LWGR,2007,22586
LWGR,2008,22586
LWGR,2009,22586
LWGR,2010,22586
LWGR,2011,22586
LWGR,2012,22586
LWGR,2013,22586
LWGR,2014,22586
LWGR,2015,22586
LWGR,2016,22586
LWGR,2017,22586
LWGR,2018,22586
LWGR,2019,22586
LWGR,2020,22586
LWGR,2021,22586
LWGR,2022,22586
LWGR,2023,22586
LWGR,2024,22586
PHWR,1974,1179
PHWR,1975,1179
PHWR,1976,3799
PHWR,1977,8969
PHWR,1978,11519
PHWR,1979,11519
PHWR,1980,12212
PHWR,1981,12212
PHWR,1982,16136
PHWR,1983,19944
PHWR,1984,27210
PHWR,1985,28011
PHWR,1986,32587
PHWR,1987,35277
PHWR,1988,35277
PHWR,1989,36078
PHWR,1990,41630
PHWR,1991,41630
PHWR,1992,46008
PHWR,1993,48784
PHWR,1994,48784
PHWR,1995,49585
PHWR,1996,51765
PHWR,1997,53826
PHWR,1998,55887
PHWR,1999,58749
PHWR,2000,61152
PHWR,2001,61152
PHWR,2002,63216
PHWR,2003,65280
PHWR,2004,65280
PHWR,2005,67010
PHWR,2006,68740
PHWR,2007,71720
PHWR,2008,71720
PHWR,2009,72521
PHWR,2010,73322
PHWR,2011,68882
PHWR,2012,74122
PHWR,2013,74122
PHWR,2014,76282
PHWR,2015,76282
PHWR,2016,76282
PHWR,2017,76282
PHWR,2018,76282
PHWR,2019,76282
PHWR,2020,76282
PHWR,2021,78448
PHWR,2022,78448
PHWR,2023,78448
PHWR,2024,80614
PWR,1969,2905
PWR,1970,7044
PWR,1971,8174
PWR,1972,16580
PWR,1973,31365
PWR,1974,41993
PWR,1975,57358
PWR,1976,71914
PWR,1977,79006
PWR,1978,94010
PWR,1979,102582
PWR,1980,138857
PWR,1981,181928
PWR,1982,200065
PWR,1983,228066
PWR,1984,272242
PWR,1985,340319
PWR,1986,388370
PWR,1987,441302
PWR,1988,465219
PWR,1989,481473
PWR,1990,500184
PWR,1991,511510
PWR,1992,518750
PWR,1993,535707
PWR,1994,544097
PWR,1995,553347
PWR,1996,564499
PWR,1997,573039
PWR,1998,580160
PWR,1999,585901
PWR,2000,593784
PWR,2001,599809
PWR,2002,613494
PWR,2003,616319
PWR,2004,627449
PWR,2005,630274
PWR,2006,633274
PWR,2007,636274
PWR,2008,636274
PWR,2009,636274
PWR,2010,647134
PWR,2011,659168
PWR,2012,667723
PWR,2013,679438
PWR,2014,691153
PWR,2015,716243
PWR,2016,744386
PWR,2017,754195
PWR,2018,784520
PWR,2019,799498
PWR,2020,815836
PWR,2021,828689
PWR,2022,849980
PWR,2023,865088
PWR,2024,883111
